,coin_name,symbol,description,total_coin_supply,algorithm,proof,start_date,total_coins_mined,exchanges
715,MysteryCoin,MYST*,MysteryCoin (MYST) is a PoW/PoS hybrid alternative crypto currency. The algorithm is X11 and the proof of stake rate is 16.8% for the first year. LGD*,32433366,X11,PoW,12/06/2014,,CCEX
716,StalinCoin,STALIN,Stalincoin is a PoW/PoS hybrid cryptocurrency.,3000000000,X11,PoW/PoS,01/01/0001,,Yobit
717,Clout,CLOUT,"The Clout Network is a decentralized social media platform where users are rewarded for writing, sharing and upvoting the highest-quality posts. The platform is cryptocurrency and blockchain-specific, giving cryptocurrency enthusiasts and investors an information hub with incentivized curation. The CLOUT token is an ERC223 token that allows the user to receive period airdrops of the CLC token, a utility token used to pay the platform fees and to reward writers and curators.",100000000,,,27/10/2017,,
718,BitMark,BTM,BitMark has a total coin supply of 27.58 million BTM - difficulty retargetting each 720 blocks and a block reward of 20 BTM. ,27580000,Scrypt,PoW,21/05/2014,1407000000.0,"BitTrex, Novaexchange, BTER, Cryptsy, Poloniex, Binance"
719,Wild Beast Coin,WBB,Wild Beast Bitcoin (WBB) is a pure scypt proof of work altcoin released in February 2015. The coin supply is limited to just over 2.5 million WBB currency units.,2628000,Scrypt,PoW,11/02/2015,181919.2435974,"BitTrex, Cryptopia, Novaexchange, Cryptsy, Yobit"
720,Qwark,QWARK,Qwark is an Ubiq-based token swapped and rebranded from Sarcoin. The swap took place at a 1:1 rate.,250377576,,,01/01/0001,,"Cryptopia, BitTrex"
721,High Performance Blockchain,HPB,High Performance Blockchain is a DPoS cryptocurrency.,,DPoS,,09/01/2018,,
722,Vestarin,VST,"Vestarin platform It is a marketplace for goods and services, and platform for cryptonetworking. The Vestarin token (VST) is an ERC20 token and smart contract system, based on Ethereum protocol. Due to this protocol, Vestarin tokens can be freely transferred between the wallets and easily integrated into the cryptomarkets.",200000000,,,30/01/2018,,
723,FireRoosterCoin,FRC,"FireRoosterCoin is a Proof of Work cryptocurrency based on the SHA256 algorithm. The coin was made for the Chinese community and its name is based in the Chinese culture, in which Fire Roosters are Hardworking, resourceful, courageous and talented.",2602410,SHA256,PoW,06/02/2017,29996441.0,"Cryptopia, Cryptsy, BTER"
724,Darknet,DNET,Darknet stives to provide true privacy and anonimity in Cryptocurrency.,37175346,Quark,Pow/PoS,29/01/2016,51579988.756553,"BitTrex, BitSquare, Cryptopia"
725,Dlisk,DLISK,"DLISK is a Delegated Proof of Stake crytocurrency that acts as the native value token of the DLisk Platform. The Dlisk platform allows the creation of Decentralized Applications with popular programming languages like Node.js and JavaScript.DLisk is based in Lisk and uses the same Forging system, with the possibility to delegate DLISK Balance to pre-selected master nodes and get forging rewards without having to run a full node.",100000000,,DPoS,01/01/0001,,Yobit
726,BosonCoin,BOSON,"BosonCoin is a Proof of Work/Proof of Stake cryptocurrency using the X11 hashing algorithm. BosonCoin is named after the Boson, a subatomic particle, such as a photon, that has zero or integral spin and follows the statistical description given by S. N. Bose and Einstein. ",5000000000,X11,PoW/PoS,17/11/2016,,"Yobit, Cryptopia"
727,Creditbit ,CRB,Creditbit is an ERC20 token.,16504333,,,04/11/2015,16545773.84657313,
728,WaBi,WABI,WaBi is an Ethereum-based platform supporting Walimai&#39;s anti-counterfeit system. The Walimai anti-counterfeit labels link digital and physical assets through RFID Radio-frequency identification with anti-copy functionality. Consumers can authenticate the product through their phone app and are able to purchase products protected by Walimai technology with WABI. User are also rewarded with WABI tokens for for using the Walimai safe channel. WABI is an Ethereum-based ERC 20 token used in the Walimai safe channel. ,100000000,,,21/07/2017,99602032.81097047,"Binance, EtherDelta"
729,CinderCoin,CIN,"Cinder [CIN] is the new developer&#39;s rebranding of FlexibleCoin [FLEX]. FLEX was mined during a 10+ day X15 Algo Proof of Work stage. Most coins have since been purchased by investors on markets such as Bittrex and Cryptsy, giving the coin wide distribution to long term holders.",114000000,Multiple,PoW/PoS,06/06/2014,0.0,"Yobit, Cryptsy, Coinse"
730,CoinLancer,CL,"CoinLancer is a freelancing platform that will use the Ethereum blockchain to mitigate the issues in the contemporary freelance. The platform will feature smart contracts based escrow mechanism to ease the interaction between clients and freelancers, fair dispute settlements, secure payments, less transaction fees, identity thief elimination, elimination of fake reviews and unbiased dispute resolution.CoinLancer token (CL) is an ERC-20 token that will be used to pay fees when using the smart contract feature, and also will work as the medium of exchange between clients and freelancers.",300000000,,,06/10/2017,300000000.0,"EtherDelta, HitBTC"
731,HeavyCoin,HVC,"HeavyCoin is another unique crypto Currency with its Hefty1 algorithm to encourage CPU mining only. The coin is secure due to its SHA-256 Keccak-512, Blake-512 combination. The coin also has pegged difficulty retargetting and a decentralised block reward voting. Otherwise a block time of 2 mins and Kimoto Gravity well temporal retargetting.",128000000,Multiple,PoW,08/03/2014,,Cryptsy
732,Amsterdam Coin,AMS,"Amsterdam Coin, AMS, aims to be the crypto currency for Amsterdam using a ToR client to obfuscate transactions. The coin is a quark based algo with a proof of work element lasting 840000 blocks with a block reward of 10 AMS per block. The block time is 60 seconds and the proof of stake has an 8% reward.",,Quark,PoW/PoS,14/08/2015,81544009.0343096,"Yobit, Novaexchange, BitTrex, CCEX"
733,Hacker Gold,HKG,"Hacker Gold (HKG) is the official token of the Virtual Accelerator, a platform that allows for the promotion, testing and funding of ideas. It’s a place that allows new startups to be formed. HKG allows anyone to be involved and signify their appreciation of the best projects participating in the event. The teams who collect the most HKG will have the largest acceptance by the crowd and will have the greatest potential. ",,,,20/10/2016,,"EtherDelta, BitTrex, BTER"
734,DuckDuckCoin,DUCK,"DuckDuckCoin is a Proof of Work cryptocurrency with an extremely low coin supply of 121. Mining is meant to be seen like a game where users hunt a rare trophey, the DuckDuckCoin.",121,Scrypt,PoW,04/02/2014,,Cryptopia
735,DarkGold,DGDC,"DarkGold is a PoW/PoS hybrid cryptocurrency that uses the x13 hashing algorithm. There are 1m DGD coins, 560k of which have been burned.",1000000,X13,PoW/PoS,22/11/2014,,"Cryptopia, Yobit, BitTrex"
736,Embers,MBRS,Embermine is a smart contract platform designed to empower users in all projects garanteeing revenue and royalty shares between collaborators in a decentralized environment.,50000000,,,12/05/2017,50000000.0,"Cryptopia, EtherDelta"
737,AIX,AXT,"AiX is a unique AI software product that allows users to trade safely and effortlessly across all wallets, assets, platforms and currencies via an AI execution chatbot - with optional Alexa-style voice recognition system - that aggregates pricing data from all sources; P2P, exchange, dark pools and the rest. It will provide pricing and execution via voice or any Instant Messenger platform. To take part in the unique opportunity presented by AiX’s collaboration with Rainbird, traders will need to pass through our on-boarding KYC process which requires holding at least one AXT token, an ERC20 token based on the Ethereum blockchain.",20000000,,,01/01/0001,,
738,OpalCoin,OPAL,OpalCoin is a rebranding and relaunch of OnyxCoin. The coin is a hybrid proof of work and proof of stake running on X13. The proof of stake rate is 5% per annum.,15000000,X13,PoW/PoS,12/09/2014,15145012.45982047,"Cryptopia, Yobit, Cryptsy, Poloniex, Novaexchange, BitTrex"
739,Swarm City Token,SWT,"Swarm City is a Blockchain-based ride sharing dapp (Decentralized application). Swarm City is a rebrand from Arcade City. The Swarm City token (SWT) has been created with the purpose of functioning within the Swarm City environment. Only SWT will be accepted in the Swarm City ecosystem, so any ARC token holders who wish to interact with the Swarm City platform will need to exchange their ARC for SWT.",7885956,,,19/03/2017,8048999.979142671,"Yobit, HitBTC, BitTrex, EtherDelta"
740,Mbitbooks,MBIT,MBIT is a Proof of Work crytocurrency which secures sharing of music and books on blockchain . MBIT enables artists and authors to own and control their content and be paid directly for sharing their content online on mbit platform . Users are able to buy the content from artists and authors of their choice on the distributed ledger . Artists and Authors are able to protect their content online by flagging and reporting content which is plagiarized and infringes copyright violation .,81000000,Scrypt,PoW,23/04/2017,,"Cryptopia, Yobit"
741,LitecoinCash,LCASH,LitecoinCash is an ERC20 token. ,12000000,,,27/10/2017,12000000.0,
742,Sucre,SUCR,Sucre is a PoW cryptocurrency based on the X11 algorithm.,19800000,X11,PoW,30/11/2017,2258843.87800338,
743,SoonCoin,SOON,Soon Coin is an SHA-256 Bitcoin clone - the number of coins is 21 million to be mined by proof of work.,21000000,SHA256,PoW,05/04/2014,12462620.0,"Cryptopia, BitTrex"
744,Ludum token,LDM,Privateers.life is a MMO (massively multiplayer online) pirate game with blockchain based economics. Ludum token (LDM) is an ERC20 token that serves as the ingame currency. It can also be used as form of payment in friendly stores and Privateers&#39; services opened within the framework.,404926.7576,,,17/08/2017,404926.7576875,"Yobit, EtherDelta"
745,Impact,IMX,"Impact is a PoW/PoS cryptocurrency, currently in the PoS stage. It&#39;s based on the X11 algorithm and its main purpose is to be the true longterm cryptocurrency.",110000000,X11,PoW/PoS,10/03/2017,109509221.73325913,Novaexchange
746,Crypviser,CVCOIN,"Crypviser uses blockchain technology to develop solutions for B2C and B2B markets. By providing genuine encryption key identification, Crypviser can prevent manipulation, interceptions MITM attacks on all communication levels.Crypviser has developed a security model, which is designed to meet the highest standards of cryptography for securely exchanging and storing all kinds of data.",15193882,,,18/05/2017,,
747,FriendshipCoin,FSC2,FriendshipCoin is a proof of work alternative crypto currency based on Proof of Work or PoW. The total number of coins is just over 37 billion and the difficulty retargets every hour on a block time of 2.5 mins.,0,Scrypt,PoW/PoS,07/01/2015,,"Coinse, BitTrex"
748,ChildCoin,CHILD,"X-Children is a revolutionary PoW coin featuring an established difficulty adjustment algorithm (X11) and an innovative two-phase distribution plan which ensures that the coin remains sustainable and economically viable. During the first 28 days 90% of all coins will be distributed, then transitions to anti/inflation 1 coin per block mode",2000000,X11,PoW,24/08/2014,,BitTrex
749,Basic Attention Token,BAT,"The Basic Attention Token is an Ethereum-based token that can be used to obtain a variety of advertising and attention-based services on the Brave platform, a new Blockchain based digital advertising system. User attention is privately monitored in the Brave browser and publishers are rewarded accordingly with BATs. Users also get a share of BATs for participating.",1500000000,,,31/05/2017,1500000000.0,"Gateio, Yobit, Binance, Liqui, Cryptopia, Cryptsy, Novaexchange, BTER, LiveCoin, BitTrex, HuobiPro, EtherDelta"
